epoch,loss,mse,val_loss,val_mse
29,0.07802965492010117,6.968325033085421e-05,0.00671993475407362,8.993015217129141e-05
30,0.07785331457853317,6.915119593031704e-05,0.0065153492614626884,8.634007826913148e-05
31,0.07628972828388214,6.688256689812988e-05,0.006689304485917091,8.727434033062309e-05
32,0.07598087936639786,6.69594737701118e-05,0.006808902602642775,9.1415764472913e-05
33,0.07499925047159195,6.516963185276836e-05,0.006505714263767004,8.335882739629596e-05
34,0.0737554281949997,6.364647560985759e-05,0.006644605193287134,8.849154983181506e-05
35,0.0738774761557579,6.449490319937468e-05,0.006394111085683107,8.369256829610094e-05
36,0.07264005392789841,6.280331581365317e-05,0.006133971735835075,7.892625581007451e-05
37,0.07225802540779114,6.253999890759587e-05,0.006313997320830822,8.186361083062366e-05
38,0.0717310830950737,6.202192162163556e-05,0.006422688718885183,8.527823956683278e-05
39,0.07025593519210815,6.021858280291781e-05,0.006229324731975794,8.161731966538355e-05
40,0.07021969556808472,6.088906593504362e-05,0.006097445264458656,7.945576362544671e-05
41,0.06907487660646439,5.9310870710760355e-05,0.006295029539614916,8.213756518671289e-05
42,0.06873165816068649,5.937890455243178e-05,0.006211197003722191,8.280110341729596e-05
43,0.06834921985864639,5.927951860940084e-05,0.006752445828169584,9.310051973443478e-05
44,0.06761666387319565,5.889251406188123e-05,0.005929362960159779,7.68128375057131e-05
45,0.06736037880182266,5.923797289142385e-05,0.0063567012548446655,8.630435331724584e-05
46,0.06694254279136658,5.92173237237148e-05,0.006107343826442957,8.210362284444273e-05
47,0.06616507470607758,5.842590326210484e-05,0.00655737379565835,8.994793461170048e-05
48,0.06560049206018448,5.8371369959786534e-05,0.006216058973222971,8.475819049635902e-05
49,0.0655401349067688,5.8993515267502517e-05,0.005753787234425545,7.717737025814131e-05
50,0.06474340707063675,5.857476935489103e-05,0.005898303352296352,8.015228377189487e-05
51,0.06412871181964874,5.826678534504026e-05,0.005870779976248741,7.956152694532648e-05
52,0.06379707902669907,5.842998143634759e-05,0.005762580782175064,7.729637582087889e-05
53,0.06352094560861588,5.832803071825765e-05,0.00563940079882741,7.606113649671897e-05
54,0.06336668133735657,5.9124799008714035e-05,0.0058560678735375404,7.994172483449802e-05
55,0.06265199929475784,5.879429227206856e-05,0.0057302238419651985,7.86034288466908e-05
56,0.06233379244804382,5.874635462532751e-05,0.005941800307482481,8.350881398655474e-05
57,0.06203825771808624,5.883993799216114e-05,0.005537186749279499,7.557336357422173e-05
58,0.06176126375794411,5.902818884351291e-05,0.005960327573120594,8.34213278722018e-05
59,0.061363495886325836,5.907433296670206e-05,0.005659871269017458,7.977762288646773e-05
60,0.06110288202762604,5.912151755183004e-05,0.005527444649487734,7.655365334358066e-05
61,0.060807857662439346,5.933614374953322e-05,0.005555071402341127,7.8173543442972e-05
62,0.06037748605012894,5.92586729908362e-05,0.005792546086013317,8.327601972268894e-05
63,0.060120731592178345,5.914231587667018e-05,0.005965384654700756,8.463986887363717e-05
64,0.05963624641299248,5.926560334046371e-05,0.005432534031569958,7.678625843254849e-05
65,0.05954861268401146,5.9515004977583885e-05,0.005567321088165045,7.932394510135055e-05
66,0.05942559242248535,5.98414299020078e-05,0.005619479343295097,8.015133789740503e-05
67,0.059050265699625015,5.978578337817453e-05,0.005624441895633936,8.131993672577664e-05
68,0.05824913829565048,5.915720612392761e-05,0.00580985564738512,8.534885273547843e-05
69,0.058418307453393936,5.991403668303974e-05,0.005362839438021183,7.759522122796625e-05
70,0.058017827570438385,5.992758087813854e-05,0.005755522754043341,8.375535981031135e-05
71,0.05770060792565346,5.993283411953598e-05,0.005435181315988302,7.922395889181644e-05
72,0.05724998190999031,5.990445788484067e-05,0.005515285301953554,8.193393296096474e-05
73,0.05728842690587044,6.071574171073735e-05,0.005452270153909922,8.120322308968753e-05
74,0.057209234684705734,6.0954578657401726e-05,0.005765637382864952,8.558981062378734e-05
